00:02:08.221 | Info | '/transaction/gettourcollaborate' | 
00:02:49.485 | Info | '/transaction/myprofile' | 
00:02:51.532 | Info | '/transaction/getcollabtour' | 
00:03:30.255 | Info | '/api/user/login' | 
00:03:30.380 | Info | '/transaction/myprofile' | 
00:03:33.297 | Info | '/transaction/getcollabtour' | 
00:03:36.528 | Info | '/transaction/gettourdetails' | 
00:03:46.738 | Info | '/transaction/createcollaboration' | 
00:04:33.328 | Info | '/api/user/login' | 
00:04:33.412 | Info | '/transaction/myprofile' | 
00:05:06.364 | Info | '/transaction/gettourcollaborate' | 
00:05:27.902 | Info | '/transaction/gettourcollaborate' | 
00:06:07.156 | Info | '/transaction/gettourcollaborate' | 
00:06:49.515 | Info | '/transaction/gettourcollaborate' | 
00:07:02.135 | Info | '/transaction/gettourcollaborate' | 
00:17:56.350 | Info | '/transaction/myprofile' | 
00:51:55.598 | Info | '/transaction/gettourbyuserid' | 
00:54:08.650 | Info | '/transaction/myprofile' | 
00:54:10.130 | Info | '/transaction/myprofile' | 
00:54:10.203 | Info | '/transaction/gettour' | 
00:54:11.579 | Info | '/transaction/myprofile' | 
00:54:11.600 | Info | '/transaction/gettourdetails' | 
00:57:11.018 | Info | '/transaction/createtour' | 
00:58:35.045 | Info | '/transaction/createtour' | 
01:00:44.359 | Info | '/transaction/getcollabtour' | 
01:00:50.599 | Info | '/transaction/myprofile' | 
